COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
TCD;Chad;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2010;No data;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2010;information is not available, could not be identified or is not applicable;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2010;66–89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2010;33-65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2010;90-100;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2010;33-65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2010;33-65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;GM;GMB;GMB;nan
