ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
ECU;Americas;South America;Ecuador;25523696.85;34.6%;(Juan Carlo Riascos de la PeÃ±a, Paulina Ormaza, Gonzalo Zambrama, Cynthia Silva, 2008);20.1-40%;15.3;(Juan Carlo Riascos de la PeÃ±a, Paulina Ormaza, Gonzalo Zambrama, Cynthia Silva, 2008);5.1-20%;19.3%;(Juan Carlo Riascos de la PeÃ±a, Paulina Ormaza, Gonzalo Zambrama, Cynthia Silva, 2008);5.1-20%;There are 12 indigenous territories (Tierras de OcupaciÃ³n IndÃ­gena) in Ecuador. 4.8 Mha are occupied land and 3.8 Mha are titled lands (respectively 19.33% and 15,30% of the  country land area.<br>Source : Juan Carlo Riascos de la PeÃ±a, Paulina Ormaza, Gonzalo Zambrama, Cynthia Silva, 2008.  CaracterizaciÃ³n de las Ã¡reas indÃ­genas y comunitarias para la conservaciÃ³n en Bolivia, Ecuador y Colombia. Available at : http://cmsdata.iucn.org/downloads/andes_regional_icca_review.pdf<br><br>Afro-Ecuadorians also collectively hold lands in Ecuador, but no estimate of their total area could be found. They are not included in this baseline estimation.;2017;
EGY;Africa;Northern Africa;Egypt;97690547.3;85.3%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;85.3%;(Liz Alden Wily, 2015);80.1-100%;Community land area estimated through exclusion of Terrestrial Protected Areas, urban lands, private titled lands and standard 1% of country area to cover rural public services. To minimise double-counting of TPA and community lands, 3.3% of lands within the total protected area have been subtracted as evidently within community lands, their legal status notwithstanding.<br>No legal provision for community lands or mechanisms for collective entitlement based on customary rights. No areas known to have been statutorily titled to communities. De facto access rights to off-farm lands exist.;2017;
SLV;Americas;Central America;El Salvador;2020183.4;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>According to the 2007 census, the 5 Indigenous Peoples living in El Salvador total 13,319 persons, representing 0.2% of the country's population. There is a government effort to demarcate and title indigenous lands, but the reviewed literature did not provide estimates of the amount of land held and/or used by Indigenous peoples and communities in the country.<br>Source :<br>James Anaya, 2013, Report of the Special Rapporteur on the rights of indigenous peoples, Addendum, The situation of indigenous peoples in El Salvador, UN doc. A/HRC/24/41/Add.2. Available at : http://daccess-dds-ny.un.org/doc/UNDOC/GEN/G13/150/14/PDF/G1315014.pdf?OpenElement;2017;
GNQ;Africa;Middle Africa;Equatorial Guinea;2703148.7;70.8%;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;70.8%;(Liz Alden Wily, 2015);60.1-80%;Attempts to enact a new package of land laws since 2010 (revised 2012) remains incomplete. New Constitution 2012 pledges to recognise the ownership of peasants to traditional lands (Art. 30). No data on mechanisms or progress.<br>Status in the interim believed to be permissive occupancy and use by communities, in accordance with present legislation retained from colonial era [pending more information].;2017;
ERI;Africa;Eastern Africa;Eritrea;12018401.06;91.5%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;91.5%;(Liz Alden Wily, 2015);80.1-100%;Community land area estimated by excluding Terrestrial Protected Areas, urban lands, titled rural lands and 1% of country area to cover rural public service areas.<br>No legal provision in land law of 1994 for collective rights. Law provides for lifetime usufructs for houses and arable lands only. 95% of land area is directly subject to state control. In practice villages get rights of use to lands in the immediately vicinity of settlements for grazing and wood collection.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily).;2017;
EST;Europe;Northern Europe;Estonia;4309844.0;No data;;No data;0;(Eurostat, 2013);0;No data;;No data;According to the Eurostat Farm Structure Surveys, common lands does not exist as part of the utilised agricultural area in Estonia. However, the provided information is not enough to declare that common lands do not exist in the country.<br>Sources : Eurostat, 2013. Farm structure - Estonia National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_ee.htm;2017;
ETH;Africa;Eastern Africa;Ethiopia;112736573.0;81.1%;(Liz Alden Wily, 2015);80.1-100%;14.7;(Liz Alden Wily, 2015);5.1-20%;66.4%;(Liz Alden Wily, 2015);60.1-80%;"Community lands estimated through exclusion method. 12.5% of TPA included in estimated figure of total community lands on basis of their location and IUCN category. Collective landholding is legally provided for, but a common holding right is not equivalent to an individual rural holding right. Minimal issue so far, for tiny ares in mainly Amhara Regonal State.<br>Enabling legislation for collective pastoral title exists in Afar State and less advanced in Oromia State; development of regulations is planned [pers. comm. S. Woldegiorgis, Sept 2015].<br>Participatory Forest Management User Groups have lawful access and use to national forests; estimates vary from 200,000 ha to 300,000 ha [G.B. Shibeshi, 2015, Draft Background Report on Land Governance Assessment Framework in Ethiopia for The World Bank].<br>Recognized occupancy of arable lands is nearly complete through issue of 55+ million hold right certificates by early 2015. Area covered is estimated here as 16.5 million ha being the known arable domain. Certification is however only the first stage of formal entitlement, cadastral mapping & registration still to be launched.<br>Refer legal review on site (Liz Alden Wily forthcoming).";2017;
FLK;Americas;South America;Falkland Islands / Malvinas (UK);1223788.3;No data;;No data;;;No data;No data;;No data;"There are no indigenous peoples in the Falkland islands which where uninhabited at the time of discovery by the Europeans in 1690, although they may have been visited by the Fuegians (the indigenous inhabitants of Tierra del Fuego, at the Southernmost tip of the Americas). See Carafano, 2005 and Hattersley-Smith, 1983.<br>Sources :<br>James Jay Carafano, 2005. Falkland/Malvinas Islands. In Will Kaufman; Heidi Slettedahl Macpherson. ""Britain and the Americas: Culture, Politics, and History"". Santa Barbara, California: ABCâ€“CLIO. Available at : https://books.google.fr/books?id=HbBbn3x7PZsC<br>G. Hattersley-Smith, 1983. Fuegian Indians in the Falkland Islands. Polar Record, 21, pp 605-606. Available at : http://dx.doi.org/10.1017/S003224740002204X";2017;
FRO;Europe;Northern Europe;Faroe Islands (Denmark);140128.016;No data;;No data;;;No data;No data;;No data;;2017;
FJI;Oceania;Melanesia;Fiji;1865156.597;0.88;(Fabrice Dubertret, based on AusAID, 2008);80.1-100%;88.0;(Australian Agency for International Development, 2008);80.1-100%;0;(Fabrice Dubertret, based on AusAID, 2008);0;In Fiji, customary tenure is formally recognized and protected. Customary lands cover 88% of the country land area, the rest being public land (4%) and freehold lands (8%). <br>When the islands of Fiji were ceded to Britain in 1874, all lands not occupied by Fijians were acquired by the Crown, and the lands sold by Fijians prior to this time were granted freehold title. Since then, the Fijians have been prohibited from selling their land to other than the Crown.<br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
FIN;Europe;Northern Europe;Finland;30258230.23361;No data;;No data;0.5;(RRI, 2015);0.1-5%;No data;;No data;According to the Eurostat Farm Structure Surveys, registered common land is non-significant in Finland (as part of the utilised agricultural area). However, there are indigenous and community lands formally recognized in the Åland islands. They total 1.33 Mha (0.51% of the total Finland country area). This data is displayed here for the country level, but is a double counting of the separately treated Åland islands.<br><br>Nevertheless, Indigenous Peoples are known to live in the country: the Sami are the Indigenous Peoples of Europe, living in the Northern part of Norway, Sweden, Finland and Russia.<br><br>Sources: Eurostat, 2013. Farm structure - Finland National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_fi.htm<br>Rights and Resources Initiative, 2015, Who Owns the World’s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at: http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br>International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at: http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
FRA;Europe;Western Europe;France;54542968.39;No data;;No data;10.0;(Nadine Vivier, 1998);5.1-20%;No data;;No data;"In France, 1 272 common land farms cover 675 128 ha, of which 99.2% is still grassland (see Eurostat report). These lands are managed collectively by pastoral land associations, pastoral groupings, communes, and other groupings. Thus, common pastoral lands in the country cover 1.24% of its total land area.<br><br>More genrally, a research paper from Nicole Vivier examines the historic evolution of common lands in Frances, and show that although their size has been critically reduced since the 18th century - largely due to privatization - these lands still cover 10% of the country area as of today.<br>Common lands in France are lands owned by municipalities (communes) over which all inhabitants have access and use rights. They are mainly made of pastures and forests lands, which are managed collectively by the communes.<br>Sources : Eurostat, 2013. Farm structure - France National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_fr.htm<br>Nadine Vivier, 1998. ""Les biens communaux en France de 1750 à 1914. État, notables et paysans face à la modernisation de l'agriculture"". Ruralia, URL : http://ruralia.revues.org/44";2017;
GUF;Americas;South America;French Guiana (France);8323416.7;No data;;No data;7.5;(Damien Davy, Geoffroy Filoche, FranÃ§oise Armanville, Armelle Guignier, 2014);5.1-20%;No data;;No data;"Some collective land rights are recognized over areas called """"Zones de Droits d'Usage Collectif"""" (ZDUC - i.e. Areas of Collective Use Rights). There are 27 of these areas across French Guyana, covering a total of 0.67 Mha (about 7.5% of the  country land area). Of these 27 ZDUC,  24 benefit indigenous communities, and 3 benefit Maroon communities.<br>Source : Damien Davy, Geoffroy Filoche, FranÃ§oise Armanville, Armelle Guignier, 2014. Zones de Droits dâ€™Usage Collectifs, Concessions et Cessions en Guyane franÃ§aise : Bilan et perspectives 25 ans aprÃ¨s. Cayenne : CRNS, IRD, observatoire Hommes/Milieux Oyapock, CNRS Guyane. Available at : http://www.guyane.cnrs.fr/IMG/pdf/2014_rapport_ZDUC_final.pdf";2017;
PYF;Oceania;Polynesia;French Polynesia (France);403865.27;No data;;No data;;;No data;No data;;No data;;2017;
ATF;Antartica;Antartica;French Southern Territories (France);761932.9;No data;;No data;;;No data;No data;;No data;;2017;
GAB;Africa;Middle Africa;Gabon;26317118.0;82.9%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;82.9%;(Liz Alden Wily, 2015);80.1-100%;Estimate of community lands is based on exclusion method (TPA, urban areas, official figure for titled rural lands, and standard subtraction of rural public service area at 1%.).<br>Securely accessed lands refer to three small approved community forests, availing management and use rights, not ownership. <br>Source: Liz Alden Wily, 2012, Land Rights in Gabon Facing Up to the Past - and Present, FERN, UK & Brussels.<br>Refer elsewhere for review of laws against indicators (Liz Alden Wily, forthcoming).;2017;
GMB;Africa;Western Africa;Gambia;1054377.3978;86.5%;(Liz Alden Wily, 2015);80.1-100%;86.5;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;Minor decrease of TPA due to exclusion of one community wildlife reserve (389 ha). Although an official figure for private land (rural) is available and recorded here (11%) neither this, nor the TPA, or urban areas used due to availability of official figure for community lands (known as customary lands) at 908,400 ha.<br>Key source: Amie Besouda & Co. LP, August 2013, for The World Bank, Improving Land Sector Governance in The Gambia.<br>Note: some unclarity as to equivalency of customary rights with leasehold and freehold rights.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily, forthcoming).;2017;
GEO;Asia;Western Asia;Georgia;6950260.879;No data;;No data;;;No data;No data;;No data;;2017;
DEU;Europe;Western Europe;Germany;35289895.9087;No data;;No data;6.2;(Fabrice Dubertret, 2017 - Calculation based on based on FMFA, 2014);5.1-20%;No data;;No data;According to the federal ministry of food and agriculture of Germany, as of 2014, 19% the 11.4 million hectares of forest in the country are communally owned (the balance being 48% private, 29% State, and 4% owned by the federal government). Using these numbers, we can calculate that communal forest ownership cover about 2.166 million hectares (thus about 6.2% of Germany land area).<br>Still, it has to be noted that some of the forest classified as ‘private’ is also owned by communities, but in a different legal form. Thus, the numbers calculated for communal forest ownership in Germany should be considered a baseline.<br>Sources : Federal Ministry of Food and Agriculture. 2014. The Forests in Germany : Selected Results of the Third National Forest Inventory. 54 p.;2017;
GHA;Africa;Western Africa;Ghana;23300133.0;79.6%;(Liz Alden Wily, 2015);60.1-80%;79.6;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;"The total area of TPA reduced by 63,586 ha as being within acknowledged customary lands.<br>Customary lands are formally recognized as community-derived property with or without issue of formal entitlements. Official figure for customary lands is 80% of the total country area.<br>While customary freeholds are issued by traditional authorities and now Customary Land Secretariats, few parcels have been alienated entirely from the customary sector (in form of registered common law freeholds or leases, which number 300,000 parcels mostly acquired for urban areas).<br>Key sources :<br>pers comm. W Odame Larbi, May 2015;<br>W. Odame Larbi, Compulsory Land Acquisition and Compensation in Ghana: Searching for Alternative Policies and Strategies, 2008, FIG/FAO/CNG International Seminar on State and Public Sector Land Management, Verona, Sept 9-10 2008;<br>W.O. Larbi (in press) Harnessing Land Resources for Economic Development. Cht 10 in Appiah-Adu-,K. and Bawumia , M. (eds.), Key Deturminants of National Development: Historical Perspectives and Implications for Developing Economies, Gower Publications); <br>John Tiah Bugri, 2012. Final Report: Improving Land Sector Governance in Ghana. Implementation of the Land Governance Assessment Framework, The World Bank.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily, forthcoming).";2017;
GIB;Europe;Southern Europe;Gibraltar (UK);720.679;No data;;No data;;;No data;No data;;No data;;2017;
GRC;Europe;Southern Europe;Greece;13144845.3;No data;;No data;11.2;(Eurostat, 2013);5.1-20%;No data;;No data;The Eurostat study on common lands in Europe reveals that 1 475 268.16 hectares are common land in Greece (11.22% of the country land area). These lands are usually rough grazing of permanent grassland used as pasture for cattle, sheep and goat (arable land and permanent crops are not part of Common Lands). Common lands are areas used jointly by several holdings without possible assignation of specific sections to each farmer.<br>Source : Eurostat, 2013. Farm structure - Greece National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_el.htm;2017;
GRL;Americas;Northern America;Greenland (Denmark);214009079.0;1;(Jens Dahl, pers. com. on 2015/09/21);80.1-100%;0;(Nick Tagliarino, 2015. See LandMark Indicators of the Legal Security of Indigenous and Community Lands);0;1;(Nick Tagliarino, 2015. See LandMark Indicators of the Legal Security of Indigenous and Community Lands);80.1-100%;The 2009 Act on Self-Government gave Greenland a high level of self-determination within the State of Denmark. The country has a public government and aims to establish a sustainable economy. 90% of Greenland's population is Inuit.<br>The entire country of Greenland can be considered as an Indigenous territory, although there is no statutory or regulatory framework to secure their land tenure.<br>Sources :<br>International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf<br>Jens Dahl, pers. com. on 2015/09/21<br>Nick Tagliarino, 2015. Indicators of the Legal Security of Indigenous and Community Lands [Data file from LandMark: The Global Platform of Indigenous and Community Lands]. Available from: www.landmarkmap.org.;2017;
GRD;Americas;Caribbean;Grenada;36093.0;No data;;No data;;;No data;No data;;No data;;2017;
GLP;Americas;Caribbean;Guadeloupe (France);165561.0197;No data;;No data;;;No data;No data;;No data;;2017;
GUM;Oceania;Micronesia;Guam (U.S.);55128.413799999995;No data;;No data;;;No data;No data;;No data;;2017;
GTM;Americas;Central America;Guatemala;10830294.0;No data;;No data;16.6;(RRI, 2015);5.1-20%;No data;;No data;0.38 Mha (3.55% of the  country land area) are designated for Indigenous peoples and local communities as Community Concessions. 1.40 Mha (13.04% of the  country land area) are Communal Lands owned by Indigenous peoples and local communities, In total, 16.58% of Guatemala is formally recognized as indigenous and/or community lands.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>No data could be found in the literature regarding the total area of indigenous and community lands in the country (including not formally recognized lands), which could be an important part of the country land area : Indigenous Peoples represent 60% of Guatemala total population, and their participation to the country's economy as a whole account for 61,7% of output.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
GGY;Europe;Northern Europe;Guernsey (UK);8816.2;No data;;No data;;;No data;No data;;No data;;2017;
GIN;Africa;Western Africa;Guinea;24522874.6;92.2%;(Liz Alden Wily, 2015);80.1-100%;9.3;(Liz Alden Wily, 2015);5.1-20%;82.9%;(Liz Alden Wily, 2015);80.1-100%;Land Code 1992 provides for customary rights to be registered as ownership rights, superseded by Code foncier et domanial, Loi No. L/99/013/AN. This recognizes customary rights but requires registration in order to be fully protected (see Art. 3 and 39). Less than 10% of rural lands have been registered.<br>Key source : A. A. Barry and K. Ngom, EuropeAid, August 2015, Rapport provisioire CAGF-Guinee Conakry, Appui a l'organisation des Estas Generaux sure le Foncier et realisation due Cadre d'Anayluse de la Goverurnance Fonciere (CAGF) en Guinee.;2017;
GNB;Africa;Western Africa;Guinea-Bissau;3351100.7;61.6%;(Liz Alden Wily, 2015);60.1-80%;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;"Customary rights are legally respected in principle (Law No 5 of 1998, Art. 2) and traditional authorities formally vested with land administration roles in rural areas. However privately titled rural lands are particularly expansive in the form of 7,000 concessions existed by 2006, mainly covering urban and peri-urban lands; no data on area of customary lands subject to other titles or the level of tenure security that in practice obtains.<br>Key source:  Dittmar Jenrich & Jutta Schmidt Machado, GFA Consulting Group, GmbH, Guinea-Bissau Land Tenure Issues and Policy Study, 2006, The World Bank.";2017;
GUY;Americas;South America;Guyana;20972563.5;No data;;No data;19.3;(RRI, 2015);5.1-20%;No data;;No data;Titled Amerindian Village Lands, Community Forest Management Agreements and Amerindian Protected Areas are designated lands for Indigenous peoples and local communities in Guyana. They cover a total of 3.80 Mha (19.32% of the  country land area). No area has yet been designated as Amerindian Protected Area, even if the statutory and regulatory basis for the tenure recognition is in place.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
HTI;Americas;Caribbean;Haiti;2698879.0;No data;;No data;;;No data;No data;;No data;;2017;
HMD;Antartica;Antartica;Heard Island and McDonald Islands (Australia);36147.812320000005;No data;;No data;;;No data;No data;;No data;;2017;
HND;Americas;Central America;Honduras;11182455.5;No data;;No data;14.000000000000002;(RRI, 2015);5.1-20%;No data;;No data;In Honduras, 0.50 Mha of Social Forestry System or Microwatersheds are designated for Indigenous peoples and local communities (4.42% of the country land area). The Private Tribal Lands and Miskito Coastal Communities cover 1.07 Mha (9.55% of the country land area) and are owned by Indigenous peoples and local communities. Thus, 13.98% of Honduras land area is formally recognized indigenous and/or community land. <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>The total territory claimed by Indigenous peoples in Honduras counts for approximately 2 Mha and only 10% have a guaranteed property title.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
HKG;Asia;Eastern Asia;Hong Kong;111115.87;No data;;No data;;;No data;No data;;No data;;2017;
HUN;Europe;Eastern Europe;Hungary;9144467.447;No data;;No data;6.9;(Eurostat, 2010);5.1-20%;No data;;No data;Eurostat collected data on lands used by several agricultural holdings in Hungary (the areas used exclusively by a single agricultural holding were discarded). These common lands cover 73 975 ha of permanent grassland and meadow-rough grazing, 201 192 ha of wooded area, and 352 058 ha of unutilized agricultural lands. Thus, common lands in Hungary totally cover at least 627 225 ha (6.86% of the country total land area) as not all such lands have been covered by the study.<br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743;2017;
ISL;Europe;Northern Europe;Iceland;10053054.817;No data;;No data;;;No data;No data;;No data;;2017;
IND;Asia;Southern Asia;India;312578027.0;0.11;"(Fabrice Dubertret, 2015 - Calculation based on IFAD and AIPP, 2013; Department of Land Resources, 2013)";5.1-20%;0.04;(RRI, 2015);5.1-20%;10.86%;"(Fabrice Dubertret, 2015 - Calculation based on IFAD and AIPP, 2013; Department of Land Resources, 2013: RRI, 2015)";No data;0.14 Mha are collectively owned lands (0.04% of the country land area), formally recognized as Community Reserves or as Scheduled Tribes and Other Traditional Forest Dwellers Lands. This estimation does not include includes individual land ownership under the 2006 Forest Rights Act, or data where community and individual land ownership are not disaggregated.<br>Source: Rights and Resources Initiative, 2015, Who Owns the World’s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at: http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br><br>Different estimations of the total area held and/or used by Scheduled Tribes (generally considered as the Indigenous Peoples of India) can be found in the literature. The Indian Government Ministry of Tribal Affairs estimates Scheduled Tribes (STs) to inhabit 15% of the country's area. <br>As of 2003, the Ministry of Statistics and Programme Implementation estimated the STs to hold 11.2% of the rural land and 3.25% of the urban land in India. The Department of Land Resources estimating urban areas to cover 2.35% of India's land mass, STs land holding would then represent 11.01% of India total area.<br>Sources: <br>IFAD and AIPP, 2013, Country Technical Notes on Indigenous Peoples' issues: Republic of India. Available at: http://www.ifad.org/english/indigenous/pub/documents/tnotes/india.pdf<br>Department of Land Resources, 2013, National Land Utilisation Policy: framework for land use planning & management (Draft). Available at: http://dolr.nic.in/dolr/downloads/PDFs/Draft National Land Utilisation Policy (July 2013).pdf<br><br>Beyond the 461 officially recognized STs (or Adivasi), numbering 84.3 million peoples (8.2% of the total population), many other groups would qualify as Adivasis but are not officially recognized as such.<br>Source: International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at: http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
IDN;Asia;South-Eastern Asia;Indonesia;188544512.8;0.23;(Abdon Nababan, AMAN, 2014);20.1-40%;0.5;(Annas Radin Syarif, AMAN, pers. com. on 2015/10/30);0.1-5%;22.5%;(Annas Radin Syarif, AMAN, pers. com. on 2015/10/30);20.1-40%;According to AMAN's Indicative Map of Ancestral Domain and Indigenous territories in Indonesia, 23% of the land surface of the country has a high probability to Indigenous lands. The organization also estimates that 0.48% of Indonesia is formally recognized as indigenous and community lands, the rest being not formally recognized.<br>Sources: <br>Abdon Nababan, 2014, Upscaling recognition of Indigenous Peoples’ territorial rights in Indonesia through community mapping. Presentation at the World Bank land and poverty conference 2014. Washington D.C. Available at: https://namati.org/news/namati-champions-community-land-protection-at-the-2014-world-bank-conference-on-land-and-poverty/<br>Annas Radin Syarif, AMAN, personal communication on 2015/10/30.;2017;
IRN;Asia;Southern Asia;Iran;159908567.0;0.59;(Organization of Nomadic Peoples of Iran, 2015);40.1-60%;;;No data;No data;;No data;Despite Tribal Societies representing less than 2% of the population of Iran, 59% of the country land area is in their hands.<br>Source: <br>Organization of Nomadic Peoples of Iran (ONPI) website. Available at : http://www.ashayer.ir/index.aspx?siteid=1&pageid=127. Accessed 2015/10/31.;2017;
IRQ;Asia;Western Asia;Iraq;43909289.2;No data;;No data;;(RRI, 2015);No data;No data;;No data;Collective farms recognized by the legislation exist in Iraq, but no estimation of the area they cover could be found.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
IRL;Europe;Northern Europe;Ireland;6892896.0;No data;;No data;6.4;(National Parks & Wildlife Service, 2016);5.1-20%;No data;;No data;Commonages are lands jointly owned and used by more than one person. They are mainly constituted of pastures and are estimated by to cover about 423,000 hectares. However, the geographic data of the National Parks & Wildlife Service show a wider extent of about 440,000 hectares (6.48% of the country land area).<br>Sources : CSO, 2016. Farm Structure Survey 2013.  Available at: http://www.cso.ie/en/releasesandpublications/ep/p-fss/farmstructuresurvey2013/keyfindings/<br>National Parks & Wildlife Service. 2016. Commonage GIS Dataset. https://data.gov.ie/dataset/commonage-gis-dataset;2017;
IMN;Europe;Northern Europe;Isle of Man (UK);57681.6128;No data;;No data;;;No data;No data;;No data;;2017;
ISR;Asia;Western Asia;Israel;2197385.8;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, Arab Bedouins are considered indigenous to the Negev-Naqab Desert. Although most of them were expelled to Jordan and Sinai, some still live in Israel, in a restricted geographic area hindering their traditional semi-nomadic way of life and representing less about 10% of their former territory.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
ITA;Europe;Southern Europe;Italy;29813073.49;No data;;No data;2.1;(Eurostat, 2010);0.1-5%;No data;;No data;Eurostat has estimated the total area of common lands in Italy, focusing on grazing and therefore excluding forest and non-agricultural communal lands. Common pastoral lands cover 610 165 ha (2.05% of the total country land area), but including non-grazing common lands could lead to a higher figure. <br>Source : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743;2017;
JAM;Americas;Caribbean;Jamaica;1101131.21;No data;;No data;;;No data;No data;;No data;;2017;
JPN;Asia;Eastern Asia;Japan;36973117.0;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in Japan. <br>However, two Indigenous Peoples, the Ainus and the Okinawans (or Ry?ky?ans) are known to live in the northernmost and southernmost islands of the country's archipelago, respectively.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
JEY;Europe;Northern Europe;Jersey (UK);12475.5;No data;;No data;;;No data;No data;;No data;;2017;
JOR;Asia;Western Asia;Jordan;8866063.0;No data;;No data;;;No data;No data;;No data;;2017;
KAZ;Asia;Central Asia;Kazakhstan;264141064.0;No data;;No data;8.0;(RRI, 2015);5.1-20%;No data;;No data;21.45 Mha (7.96 % of the  country land area) are Municipal Pastures designated to Indigenous peoples and communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
