COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_COMMENT_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
ERI;Eritrea;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;HN;HND;HND;nan
HUN;Hungary;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;HU;HUN;HUN;nan
ISL;Iceland;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IS;ISL;ISL;nan
IND;India;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IN;IND;IND;nan
IDN;Indonesia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;ID;IDN;IDN;nan
IRN;Iran;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IR;IRN;IRN;nan
IRQ;Iraq;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IQ;IRQ;IRQ;nan
IRL;Ireland;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IE;IRL;IRL;nan
ISR;Israel;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IL;ISR;ISR;nan
ITA;Italy;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;IT;ITA;ITA;nan
JAM;Jamaica;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;JM;JAM;JAM;nan
JPN;Japan;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;JP;JPN;JPN;nan
JOR;Jordan;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;JO;JOR;JOR;nan
KAZ;Kazakhstan;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KZ;KAZ;KAZ;nan
KEN;Kenya;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KE;KEN;KEN;nan
KIR;Kiribati;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KI;KIR;KIR;nan
PRK;North Korea;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;PRK;nan
KOR;South Korea;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;KOR;nan
XK;Kosovo;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;XK;XKX;XK;nan
KWT;Kuwait;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KW;KWT;KWT;nan
KGZ;Kyrgyzstan;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;KGZ;nan
LAO;Laos;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;LAO;nan
LVA;Latvia;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LV;LVA;LVA;nan
LBN;Lebanon;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LB;LBN;LBN;nan
LSO;Lesotho;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LS;LSO;LSO;nan
LBR;Liberia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LR;LBR;LBR;nan
LBY;Libya;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LY;LBY;LBY;nan
LIE;Liechtenstein;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LI;LIE;LIE;nan
LTU;Lithuania;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LT;LTU;LTU;nan
LUX;Luxembourg;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;LU;LUX;LUX;nan
