;COUNTRY_ISO_3;RAW_OBS_VALUE;TIME_PERIOD;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
63;GEO;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
64;DEU;4;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
65;GHA;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
66;GRC;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
67;GRD;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
68;GTM;1;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
69;GIN;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
70;GNB;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
71;GUY;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
72;HTI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
73;HND;1;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
74;HUN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
75;ISL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
76;IND;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
77;IDN;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
78;IRN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
79;IRQ;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
80;IRL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
81;ISR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
82;ITA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
83;JAM;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
84;JPN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
85;JOR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
86;KAZ;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
87;KEN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
88;KIR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
89;PRK;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
90;KOR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
91;XKX;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
92;KWT;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
93;KGZ;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
94;LAO;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
95;LVA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
96;LBN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
97;LSO;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
98;LBR;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
99;LBY;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
100;LIE;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
101;LTU;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
102;LUX;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
103;MKD;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
104;MDG;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
105;MWI;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
106;MYS;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
107;MDV;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
108;MLI;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
109;MLT;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
110;MHL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
111;MRT;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
112;MUS;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
113;MEX;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
114;FSM;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
115;MDA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
116;MCO;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
117;MNG;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
118;MNE;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
119;MAR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
120;MOZ;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
121;MMR;1;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
122;NAM;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
123;NRU;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
124;NPL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
125;NLD;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
126;NZL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
