;COUNTRY_ISO_3;COUNTRY_NAME;DIM_SEX;DIM_SEX;DIM_SEX;DIM_SEX;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE
205;LCA;Saint Lucia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;29.1;GSHS 2018
206;LCA;Saint Lucia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;24.0;GSHS 2018
207;LCA;Saint Lucia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;26.5;GSHS 2018
208;LKA;Sri Lanka;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;28.8;GSHS 2016
209;LKA;Sri Lanka;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;50.2;GSHS 2016
210;LKA;Sri Lanka;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;39.4;GSHS 2016
211;LTU;Lithuania;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;51.4;HBSC 2017/18
212;LTU;Lithuania;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;50.9;HBSC 2017/18
213;LTU;Lithuania;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;51.1;HBSC 2017/18
214;LUX;Luxembourg;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;23.1;HBSC 2017/18
215;LUX;Luxembourg;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.8;HBSC 2017/18
216;LUX;Luxembourg;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;21.9;HBSC 2017/18
217;LVA;Latvia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;49.1;HBSC 2017/18
218;LVA;Latvia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;44.1;HBSC 2017/18
219;LVA;Latvia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;46.6;HBSC 2017/18
220;MAR;Morocco;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;31.6;GSHS 2016
221;MAR;Morocco;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;44.0;GSHS 2016
222;MAR;Morocco;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;38.2;GSHS 2016
223;MDA;Republic of Moldova;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;43.7;HBSC 2017/18
224;MDA;Republic of Moldova;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;43.4;HBSC 2017/18
225;MDA;Republic of Moldova;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;43.6;HBSC 2017/18
226;MDV;Maldives;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;29.5;GSHS 2014
227;MDV;Maldives;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;30.4;GSHS 2014
228;MDV;Maldives;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;30.1;GSHS 2014
229;MEX;Mexico;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;33.0;TERCE 2013
230;MKD;North Macedonia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.7;HBSC 2017/18
231;MKD;North Macedonia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.5;HBSC 2017/18
232;MKD;North Macedonia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.1;HBSC 2017/18
233;MLT;Malta;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;21.5;HBSC 2017/18
234;MLT;Malta;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;28.5;HBSC 2017/18
235;MLT;Malta;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.0;HBSC 2017/18
236;MMR;Myanmar;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;48.7;GSHS 2016
237;MMR;Myanmar;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;51.4;GSHS 2016
238;MMR;Myanmar;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;50.1;GSHS 2016
239;MNG;Mongolia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;25.0;GSHS 2013
240;MNG;Mongolia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;35.9;GSHS 2013
241;MNG;Mongolia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;30.5;GSHS 2013
242;MOZ;Mozambique;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;46.4;GSHS 2015
243;MOZ;Mozambique;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;45.0;GSHS 2015
244;MOZ;Mozambique;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;45.0;GSHS 2015
245;MRT;Mauritania;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;46.3;GSHS 2010
246;MRT;Mauritania;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;48.0;GSHS 2010
247;MRT;Mauritania;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;47.2;GSHS 2010
248;MSR;Montserrat;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;24.8;GSHS 2008
249;MSR;Montserrat;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;31.8;GSHS 2008
250;MSR;Montserrat;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;28.1;GSHS 2008
251;MUS;Mauritius;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;22.0;GSHS 2017
252;MUS;Mauritius;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;29.0;GSHS 2017
253;MUS;Mauritius;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;25.3;GSHS 2017
254;MWI;Malawi;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;46.5;GSHS 2009
255;MWI;Malawi;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;42.9;GSHS 2009
256;MWI;Malawi;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;44.9;GSHS 2009
257;MYS;Malaysia;F;Female;F;Female;Y13T17;13 to 17 years old;Y13T17;13 to 17 years old;2017;13.7;NHMS 2017
258;MYS;Malaysia;M;Male;M;Male;Y13T17;13 to 17 years old;Y13T17;13 to 17 years old;2017;18.7;NHMS 2017
259;MYS;Malaysia;_T;Total;_T;Total;Y13T17;13 to 17 years old;Y13T17;13 to 17 years old;2017;16.2;NHMS 2017
260;NAM;Namibia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;45.4;GSHS 2013
261;NAM;Namibia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;47.9;GSHS 2013
262;NAM;Namibia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;46.6;GSHS 2013
263;NIC;Nicaragua;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;43.3;TERCE 2013
264;NIU;Niue;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;38.2;GSHS 2010
265;NIU;Niue;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;35.5;GSHS 2010
266;NLD;Netherlands;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.5;HBSC 2017/18
267;NLD;Netherlands;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;12.1;HBSC 2017/18
268;NLD;Netherlands;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.8;HBSC 2017/18
269;NOR;Norway;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.0;HBSC 2017/18
270;NOR;Norway;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;15.7;HBSC 2017/18
271;NOR;Norway;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.9;HBSC 2017/18
272;NPL;Nepal;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;45.4;GSHS 2015
273;NPL;Nepal;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;56.2;GSHS 2015
274;NPL;Nepal;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;50.6;GSHS 2015
275;NRU;Nauru;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;37.9;GSHS 2011
276;NRU;Nauru;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;39.8;GSHS 2011
277;NRU;Nauru;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;38.9;GSHS 2011
278;NZL;New Zealand;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;35.0;TIMSS 2015
279;OMN;Oman;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;39.3;GSHS 2015
280;OMN;Oman;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;45.4;GSHS 2015
281;OMN;Oman;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;42.3;GSHS 2015
282;PAK;Pakistan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;35.3;GSHS 2009
283;PAK;Pakistan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;45.1;GSHS 2009
284;PAK;Pakistan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;41.1;GSHS 2009
285;PAN;Panama;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;43.7;TERCE 2013
286;PER;Peru;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;48.2;GSHS 2010
287;PER;Peru;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;46.7;GSHS 2010
288;PER;Peru;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;47.4;GSHS 2010
289;PHL;Philippines;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;49.3;GSHS 2015
290;PHL;Philippines;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;53.3;GSHS 2015
291;PHL;Philippines;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;51.2;GSHS 2015
292;POL;Poland;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.1;HBSC 2017/18
293;POL;Poland;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;23.4;HBSC 2017/18
294;POL;Poland;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.8;HBSC 2017/18
295;PRT;Portugal;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.7;HBSC 2017/18
296;PRT;Portugal;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.2;HBSC 2017/18
297;PRT;Portugal;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.0;HBSC 2017/18
298;PRY;Paraguay;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;14.6;GSHS 2017
299;PRY;Paraguay;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;19.2;GSHS 2017
300;PRY;Paraguay;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;16.7;GSHS 2017
301;QAT;Qatar;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;34.8;GSHS 2011
302;QAT;Qatar;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;48.8;GSHS 2011
303;QAT;Qatar;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;42.1;GSHS 2011
304;ROU;Romania;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;30.1;HBSC 2017/18
305;ROU;Romania;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;30.9;HBSC 2017/18
306;ROU;Romania;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;30.5;HBSC 2017/18
307;RUS;Russian Federation;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;35.3;HBSC 2017/18
308;RUS;Russian Federation;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;31.4;HBSC 2017/18
309;RUS;Russian Federation;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;33.3;HBSC 2017/18
310;SAU;Saudi Arabia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;27.0;TIMSS 2015
311;SGP;Singapore;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;36.0;TIMSS 2015
312;SLB;Solomon Islands;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;67.7;GSHS 2011
313;SLB;Solomon Islands;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;64.1;GSHS 2011
314;SLB;Solomon Islands;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;66.5;GSHS 2011
315;SLE;Sierra Leone;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;57.1;GSHS 2017
316;SLE;Sierra Leone;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;59.5;GSHS 2017
317;SLE;Sierra Leone;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;58.9;GSHS 2017
318;SLV;El Salvador;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;23.6;GSHS 2013
319;SLV;El Salvador;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;21.2;GSHS 2013
320;SLV;El Salvador;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;22.6;GSHS 2013
321;SRB;Serbia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.6;HBSC 2017/18
322;SRB;Serbia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.5;HBSC 2017/18
323;SRB;Serbia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.0;HBSC 2017/18
324;SUR;Suriname;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;24.9;GSHS 2016
325;SUR;Suriname;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;25.4;GSHS 2016
326;SUR;Suriname;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;25.3;GSHS 2016
327;SVK;Slovakia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.2;HBSC 2017/18
328;SVK;Slovakia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.6;HBSC 2017/18
329;SVK;Slovakia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.4;HBSC 2017/18
330;SVN;Slovenia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;23.0;HBSC 2017/18
331;SVN;Slovenia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;26.4;HBSC 2017/18
332;SVN;Slovenia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;24.7;HBSC 2017/18
333;SWE;Sweden;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.5;HBSC 2017/18
334;SWE;Sweden;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.7;HBSC 2017/18
335;SWE;Sweden;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.1;HBSC 2017/18
336;SWZ;Eswatini;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;31.2;GSHS 2013
337;SWZ;Eswatini;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;33.1;GSHS 2013
338;SWZ;Eswatini;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;32.1;GSHS 2013
339;SYC;Seychelles;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;49.9;GSHS 2015
340;SYC;Seychelles;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;44.5;GSHS 2015
341;SYC;Seychelles;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;47.4;GSHS 2015
342;THA;Thailand;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;27.8;GSHS 2015
343;THA;Thailand;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;38.3;GSHS 2015
344;THA;Thailand;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;33.2;GSHS 2015
345;TJK;Tajikistan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2006;7.1;GSHS 2006
346;TJK;Tajikistan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2006;7.1;GSHS 2006
347;TJK;Tajikistan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2006;7.1;GSHS 2006
348;TKL;Tokelau;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;38.9;GSHS 2014
349;TKL;Tokelau;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;38.6;GSHS 2014
350;TKL;Tokelau;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;40.5;GSHS 2014
351;TLS;Timor-Leste;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;24.7;GSHS 2015
352;TLS;Timor-Leste;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;38.5;GSHS 2015
353;TLS;Timor-Leste;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;31.3;GSHS 2015
354;TON;Tonga;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;30.5;GSHS 2017
355;TON;Tonga;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;45.5;GSHS 2017
356;TON;Tonga;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;38.1;GSHS 2017
357;TTO;Trinidad and Tobago;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;17.9;GSHS 2017
358;TTO;Trinidad and Tobago;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;13.2;GSHS 2017
359;TTO;Trinidad and Tobago;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;15.7;GSHS 2017
360;TUN;Tunisia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;24.4;GSHS 2008
361;TUN;Tunisia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;37.4;GSHS 2008
362;TUN;Tunisia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;30.6;GSHS 2008
363;TUR;The Republic of Türkiye;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;33.0;HBSC 2017/18
364;TUR;The Republic of Türkiye;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;39.1;HBSC 2017/18
365;TUR;The Republic of Türkiye;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;36.0;HBSC 2017/18
366;TUV;Tuvalu;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;15.0;GSHS 2013
367;TUV;Tuvalu;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;40.1;GSHS 2013
368;TUV;Tuvalu;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;26.9;GSHS 2013
369;TZA;United Republic of Tanzania;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;28.1;GSHS 2014
370;TZA;United Republic of Tanzania;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;25.0;GSHS 2014
371;TZA;United Republic of Tanzania;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;26.9;GSHS 2014
372;UGA;Uganda;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;41.1;GSHS 2003
373;UGA;Uganda;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;50.0;GSHS 2003
374;UGA;Uganda;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;45.5;GSHS 2003
375;UKR;Ukraine;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;40.7;HBSC 2017/18
376;UKR;Ukraine;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;39.6;HBSC 2017/18
377;UKR;Ukraine;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;40.2;HBSC 2017/18
378;UNICEF_ECA;Europe and Central Asia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.61;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
379;UNICEF_ECA;Europe and Central Asia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.65;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
380;UNICEF_ECA;Europe and Central Asia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.63;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
381;UNICEF_EECA;Eastern Europe and Central Asia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.38;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
382;UNICEF_EECA;Eastern Europe and Central Asia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.69;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
383;UNICEF_EECA;Eastern Europe and Central Asia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.47;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
384;UNICEF_LAC;Latin America and Caribbean;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;34.75;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
385;UNICEF_MENA;Middle East and North Africa;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;45.77;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
386;UNICEF_MENA;Middle East and North Africa;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;51.12;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
387;UNICEF_MENA;Middle East and North Africa;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;46.89;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
388;UNICEF_WE;Western Europe;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.95;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
389;UNICEF_WE;Western Europe;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.77;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
390;UNICEF_WE;Western Europe;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.86;Health Behaviour in School-aged Children Study (HBSC) and Global School-based Student Health Surveys (GSHS)
391;URY;Uruguay;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;20.4;GSHS 2012
392;URY;Uruguay;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;17.7;GSHS 2012
393;URY;Uruguay;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;19.1;GSHS 2012
394;USA;United States;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;25.4;HBSC 2009/10
395;USA;United States;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;26.4;HBSC 2009/10
396;USA;United States;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;26.0;HBSC 2009/10
397;VCT;Saint Vincent and the Grenadines;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;29.4;GSHS 2007
398;VCT;Saint Vincent and the Grenadines;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;30.7;GSHS 2007
399;VCT;Saint Vincent and the Grenadines;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;29.9;GSHS 2007
400;VGB;British Virgin Islands;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;16.5;GSHS 2009
401;VGB;British Virgin Islands;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;18.3;GSHS 2009
402;VGB;British Virgin Islands;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;17.2;GSHS 2009
403;VNM;Viet Nam;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;26.2;GSHS 2013
