;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_AGE_GROUP;DIM_SEX;DIM_REP_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
174;1.1.1;Proportion of population below international poverty line (%);Comoros;2013.0;25.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Survey name: EESIC. Uses a consumption aggregate, which is not spatially deflated.'];"UNMAPPED VALUE - PLEASE MAP - [0       True
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1       True
2      False
3      False
4      False
       ...  
957    False
958    False
959     True
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3       True
4       True
       ...  
957     True
958    False
959    False
960    False
961     True
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0      False
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool, 0       True
1      False
2      False
3      False
4      False
       ...  
957    False
958    False
959    False
960    False
961    False
Name: DIM_AGE_GROUP, Length: 962, dtype: bool]";BOTH_SEXES;Global;KM;COM;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
179;1.1.1;Proportion of population below international poverty line (%);Comoros;2014.0;19.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EESIC. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;KM;COM;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
180;1.1.1;Proportion of population below international poverty line (%);Congo;2011.0;35.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from ECOM. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;CG;COG;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
188;1.1.1;Proportion of population below international poverty line (%);Democratic Republic of the Congo;2012.0;70.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from E123. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;CD;COD;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
196;1.1.1;Proportion of population below international poverty line (%);Costa Rica;2020.0;2.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from ENAHO. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;CR;CRI;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
204;1.1.1;Proportion of population below international poverty line (%);Côte d'Ivoire;2018.0;11.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;CI;CIV;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
212;1.1.1;Proportion of population below international poverty line (%);Croatia;2019.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;HR;HRV;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
220;_T;;;2023.0;;;;_T;BOTH_SEXES;_T;;CUB;right_only;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
221;1.1.1;Proportion of population below international poverty line (%);Cyprus;2019.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;CY;CYP;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
222;1.1.1;Proportion of population below international poverty line (%);Czechia;2019.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;CZ;CZE;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
223;1.1.1;Proportion of population below international poverty line (%);Denmark;2019.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;DK;DNK;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
224;1.1.1;Proportion of population below international poverty line (%);Djibouti;2017.0;19.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EDAM. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;DJ;DJI;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
231;_T;;;2023.0;;;;_T;BOTH_SEXES;_T;;DMA;right_only;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
232;1.1.1;Proportion of population below international poverty line (%);Dominican Republic;2020.0;1.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from ECNFT-Q03. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;DO;DOM;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
240;1.1.1;Proportion of population below international poverty line (%);Ecuador;2020.0;7.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from ENEMDU. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;EC;ECU;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
248;1.1.1;Proportion of population below international poverty line (%);Egypt;2017.0;3.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from HIECS. Estimated from unit-record consumption data. PPP is partially imputed.'];ALL AGES;BOTH_SEXES;Global;EG;EGY;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
256;1.1.1;Proportion of population below international poverty line (%);El Salvador;2019.0;1.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EHPM. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;SV;SLV;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
264;_T;;;2023.0;;;;_T;BOTH_SEXES;_T;;GNQ;right_only;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
265;_T;;;2023.0;;;;_T;BOTH_SEXES;_T;;ERI;right_only;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
266;1.1.1;Proportion of population below international poverty line (%);Estonia;2019.0;1.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;EE;EST;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
267;1.1.1;Proportion of population below international poverty line (%);Eswatini;2016.0;36.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from HIES. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;SZ;SWZ;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
275;1.1.1;Proportion of population below international poverty line (%);Ethiopia;2015.0;27.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;ET;ETH;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
283;1.1.1;Proportion of population below international poverty line (%);Fiji;2019.0;1.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from HIES. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;FJ;FJI;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
289;1.1.1;Proportion of population below international poverty line (%);Finland;2019.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;FI;FIN;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
290;1.1.1;Proportion of population below international poverty line (%);France;2018.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;FR;FRA;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
291;1.1.1;Proportion of population below international poverty line (%);Gabon;2017.0;3.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EGEP. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;GA;GAB;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
299;1.1.1;Proportion of population below international poverty line (%);Gambia;2015.0;13.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from IHS. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;GM;GMB;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
307;1.1.1;Proportion of population below international poverty line (%);Georgia;2020.0;6.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from HIS. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;GE;GEO;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
315;1.1.1;Proportion of population below international poverty line (%);Germany;2018.0;0.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from GSOEP-LIS. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;DE;DEU;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
316;1.1.1;Proportion of population below international poverty line (%);Ghana;2016.0;25.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from GLSS-VII. Estimated from unit-record consumption data. '];ALL AGES;BOTH_SEXES;Global;GH;GHA;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
324;1.1.1;Proportion of population below international poverty line (%);Greece;2019.0;1.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from EU-SILC. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;GR;GRC;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
325;_T;;;2023.0;;;;_T;BOTH_SEXES;_T;;GRD;right_only;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
326;1.1.1;Proportion of population below international poverty line (%);Guatemala;2014.0;10.0;Poverty and Inequality Portal, World Bank;['The current extreme poverty line is set at $2.15 a day in 2017 PPP terms. Accessed September 14, 2022. Based on data from ENCOVI. Estimated from unit-record income data. '];ALL AGES;BOTH_SEXES;Global;GT;GTM;both;Poverty rates;Workplace;Child labour;Enforcement;WP_CL_EN_POVRAT;https://unstats.un.org/sdgs/indicators/database/;UN SDG;Proportion of population below the international poverty line (%);;PCNT;;SDG Indicator 1.1.1. Proportion of population below international poverty line (%) SI_POV_DAY1 ;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_POV_DAY1&pageSize=999999999;2023
