;COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
53;Equatorial Guinea;3;2020.0;GQ;GNQ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
54;Eritrea;3;2020.0;ER;ERI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
55;Estonia;3;2020.0;EE;EST;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
56;Eswatini;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;SZ;SWZ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
57;Ethiopia;3;2020.0;ET;ETH;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
58;Fiji;3;2020.0;FJ;FJI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
59;Finland;3;2020.0;FI;FIN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
60;France;3;2020.0;FR;FRA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
61;Gabon;3;2020.0;GA;GAB;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
62;;0;2023.0;;GMB;right_only;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
63;Georgia;3;2020.0;GE;GEO;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
64;Germany;3;2020.0;DE;DEU;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
65;Ghana;2;2020.0;GH;GHA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
66;Greece;3;2020.0;GR;GRC;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
67;Grenada;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;GD;GRD;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
68;Guatemala;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;GT;GTM;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
69;Guinea;3;2020.0;GN;GIN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
70;Guinea-Bissau;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;GW;GNB;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
71;Guyana;3;2020.0;GY;GUY;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
72;Haiti;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;HT;HTI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
73;Honduras;3;2020.0;HN;HND;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
74;Hungary;3;2020.0;HU;HUN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
75;Iceland;3;2020.0;IS;ISL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
76;India;3;2020.0;IN;IND;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
77;Indonesia;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;ID;IDN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
78;Iran, Islamic Republic of;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;IR;IRN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
79;Iraq;3;2020.0;IQ;IRQ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
80;Ireland;3;2020.0;IE;IRL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
81;Israel;3;2020.0;IL;ISR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
82;Italy;3;2020.0;IT;ITA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
83;Jamaica;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;JM;JAM;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
84;Japan;2;2020.0;JP;JPN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
85;Jordan;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;JO;JOR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
86;Kazakhstan;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;KZ;KAZ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
87;Kenya;3;2020.0;KE;KEN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
88;Kiribati;3;2020.0;KI;KIR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
89;Korea, Democratic People's Republic of;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;KP;PRK;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
90;Korea, Republic of;3;2020.0;KR;KOR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
91;;0;2023.0;;XKX;right_only;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
92;Kuwait;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;KW;KWT;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
93;Kyrgyzstan;3;2020.0;KG;KGZ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
94;Laos;3;2020.0;LA;LAO;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
95;Latvia;3;2020.0;LV;LVA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
96;Lebanon;3;2020.0;LB;LBN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
97;Lesotho;3;2020.0;LS;LSO;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
98;Liberia;3;2020.0;LR;LBR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
99;Libyan Arab Jamahiriya;3;2020.0;LY;LBY;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
100;Liechtenstein;3;2020.0;LI;LIE;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
101;Lithuania;3;2020.0;LT;LTU;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
102;Luxembourg;3;2020.0;LU;LUX;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
103;North Macedonia;3;2020.0;MK;MKD;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
104;Madagascar;3;2020.0;MG;MDG;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
105;Malawi;3;2020.0;MW;MWI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
106;Malaysia;3;2020.0;MY;MYS;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
