;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;DIM_QUANTILE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
49;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cameroon;2014.0;0.91225;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CM;CMR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
50;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cameroon;2014.0;3.40811;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CM;CMR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
51;_T;;;2023.0;;;;_T;_T;;CAN;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
52;_T;;;2023.0;;;;_T;_T;;CAF;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
53;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Chad;2011.0;0.63801;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);TD;TCD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
54;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Chad;2011.0;2.47797;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;TD;TCD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
55;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Chile;2017.0;40.63829;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CL;CHL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
56;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Chile;2017.0;45.67106;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CL;CHL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
57;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);China;2013.0;35.57958;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CN;CHN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
58;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);China;2013.0;33.86544;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CN;CHN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
59;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Colombia;2019.0;0.57035;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CO;COL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
60;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Colombia;2019.0;10.82088;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CO;COL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
61;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Comoros;2004.0;1.88031;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;KM;COM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
62;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Comoros;2004.0;0.7711;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);KM;COM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
63;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Congo;2005.0;4.88988;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CG;COG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
64;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Congo;2005.0;8.9148;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CG;COG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
65;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Democratic Republic of the Congo;2012.0;0.64599;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CD;COD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
66;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Democratic Republic of the Congo;2012.0;1.59962;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CD;COD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
67;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Costa Rica;2019.0;6.96194;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CR;CRI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
68;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Costa Rica;2019.0;18.3545;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CR;CRI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
69;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Côte d'Ivoire;2015.0;7.92255;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CI;CIV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
70;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Côte d'Ivoire;2015.0;5.42581;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CI;CIV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
71;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Croatia;2014.0;52.84615;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);HR;HRV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
72;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Croatia;2014.0;52.55622;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;HR;HRV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
73;_T;;;2023.0;;;;_T;_T;;CUB;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
74;_T;;;2023.0;;;;_T;_T;;CYP;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
75;_T;;;2023.0;;;;_T;_T;;CZE;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
76;_T;;;2023.0;;;;_T;_T;;DNK;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
77;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Djibouti;2012.0;8.50192;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;DJ;DJI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
78;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Djibouti;2012.0;5.33149;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);DJ;DJI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
79;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Dominica;2002.0;13.3701;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;DM;DMA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
80;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Dominica;2002.0;15.4359;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);DM;DMA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
81;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Dominican Republic;2019.0;1.75394;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);DO;DOM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
82;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Dominican Republic;2019.0;6.30969;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;DO;DOM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
83;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Ecuador;2019.0;4.12522;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);EC;ECU;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
84;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Ecuador;2019.0;13.15233;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;EC;ECU;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
85;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Egypt;2008.0;21.30409;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;EG;EGY;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
86;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Egypt;2008.0;17.72657;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);EG;EGY;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
87;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);El Salvador;2019.0;6.71448;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;SV;SLV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
88;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);El Salvador;2019.0;2.00509;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);SV;SLV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
89;_T;;;2023.0;;;;_T;_T;;GNQ;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
90;_T;;;2023.0;;;;_T;_T;;ERI;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
91;_T;;;2023.0;;;;_T;_T;;EST;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
92;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Eswatini;2016.0;5.71411;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;SZ;SWZ;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
93;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Eswatini;2016.0;1.36771;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);SZ;SWZ;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
94;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Ethiopia;2018.0;1.25352;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;ET;ETH;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
95;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Ethiopia;2018.0;0.08964;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);ET;ETH;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
96;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Fiji;2013.0;8.91776;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;FJ;FJI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
97;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Fiji;2013.0;4.56772;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);FJ;FJI;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
98;_T;;;2023.0;;;;_T;_T;;FIN;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
