;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;DIM_POLICY_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
57;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Cuba;2019.0;2.0;Ministry of Science, Technology and Environment;['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);CU;CUB;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
58;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Cuba;2019.0;2.0;Ministry of Science, Technology and Environment;['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);CU;CUB;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
59;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Cuba;2019.0;2.0;Ministry of Science, Technology and Environment;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);CU;CUB;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
60;_T;;;2023.0;1.0;;;_T;_T;;CYP;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
61;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Czechia;2019.0;2.0;Ministry of Environment;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);CZ;CZE;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
62;_T;;;2023.0;1.0;;;_T;_T;;DNK;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
63;_T;;;2023.0;1.0;;;_T;_T;;DJI;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
64;_T;;;2023.0;1.0;;;_T;_T;;DMA;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
65;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Dominican Republic;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);DO;DOM;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
66;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Ecuador;2019.0;2.0;Ecuador Ministerio del Ambiente;['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);EC;ECU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
67;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Ecuador;2019.0;2.0;Ecuador Ministerio del Ambiente;['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);EC;ECU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
68;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Ecuador;2019.0;2.0;Ecuador Ministerio del Ambiente;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);EC;ECU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
69;_T;;;2023.0;1.0;;;_T;_T;;EGY;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
70;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";El Salvador;2019.0;2.0;EL SALVADOR MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);SV;SLV;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
71;_T;;;2023.0;1.0;;;_T;_T;;GNQ;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
72;_T;;;2023.0;1.0;;;_T;_T;;ERI;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
73;_T;;;2023.0;1.0;;;_T;_T;;EST;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
74;_T;;;2023.0;1.0;;;_T;_T;;SWZ;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
75;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Ethiopia;2017.0;2.0;10YFP / WESR ;['Pilot reporting (2017)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);ET;ETH;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
76;_T;;;2023.0;1.0;;;_T;_T;;FJI;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
77;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Finland;2020.0;2.0;Ministry of the Environment (MoE);['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);FI;FIN;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
78;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Finland;2020.0;2.0;Ministry of the Environment (MoE);['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);FI;FIN;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
79;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";France;2020.0;2.0;MinistÃ¨re de la transition Ã©cologique et solidaire;['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);FR;FRA;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
80;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";France;2020.0;2.0;MinistÃ¨re de la transition Ã©cologique et solidaire;['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);FR;FRA;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
81;_T;;;2023.0;1.0;;;_T;_T;;GAB;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
82;_T;;;2023.0;1.0;;;_T;_T;;GMB;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
83;_T;;;2023.0;1.0;;;_T;_T;;GEO;right_only;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
84;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Germany;2021.0;2.0;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV);['Official reporting (2019-2021)'];Global;Regulatory and legal instruments (e.g. laws, standards, enforcement measures);DE;DEU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
85;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Germany;2021.0;2.0;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV);['Official reporting (2019-2021)'];Global;Economic and fiscal instruments (taxes and tax incentives, grants, preferential loans, etc.);DE;DEU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
86;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Germany;2021.0;2.0;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV);['Official reporting (2019-2021)'];Global;Voluntary and self-regulation schemes (e.g. sectoral partnerships, codes of conduct, CSR initiatives);DE;DEU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
87;12.1.1;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";Germany;2021.0;2.0;Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection (BMUV);['Official reporting (2019-2021)'];Global;Macro policies (e.g. national strategies/action plans, new institutions/entities);DE;DEU;both;National policy instruments on sustainable consumption and production;Marketplace;Product Safety;Legal framework national;MP_PS_LF_NPISCP;https://unstats.un.org/sdgs/indicators/database/;UN SDG;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";Indicates degree to which state is committed to UN Guidelines on Consumer Protection  - to encourage countries to educate consumers about sustainable consumption;;;"SDG database 12.1.1 Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) SG_SCP_POLINS INDICATOR ";https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999;2023;"2=Yes; 1=No"
